"Block"	"Trial"	"FaceFilename"	"WordFilename"	"FaceRace"	"Fix"	"WordValence"	"Condition"	"RT"	"Key"	"Error"	"Subno"	"Congruent"	"logRT"	"logRT.winz"	"RT.winz"	"ParRace"	"ParGender"
2	165	"C:\Hannah's FYP\White24_neu.jpg"	"paradise"	"White"	"nose"	"Pos"	232	538	2	0	4	"Con"	6.28785856016178	6.28785856016178	538	NA	NA
2	166	"C:\Hannah's FYP\Black7_neu.jpg"	"smile"	"Black"	"forehead"	"Pos"	112	723	2	0	4	"Incon"	6.58340922215876	6.58340922215876	723	NA	NA
2	167	"C:\Hannah's FYP\Black22_neu.jpg"	"disgust"	"Black"	"nose"	"Neg"	131	1380	1	0	4	"Con"	7.22983877815125	7.22983877815125	1380	NA	NA
2	168	"C:\Hannah's FYP\Black18_neu.jpg"	"cockroach"	"Black"	"nose"	"Neg"	131	2635	1	0	4	"Con"	7.87663846097546	7.59369400871859	1944.57544831985	NA	NA
2	169	"C:\Hannah's FYP\White15_neu.jpg"	"vomit"	"White"	"eyes"	"Neg"	221	565	1	0	4	"Incon"	6.33682573114644	6.33682573114644	565	NA	NA
2	170	"C:\Hannah's FYP\White9_neu.jpg"	"cockroach"	"White"	"eyes"	"Neg"	221	1007	1	0	4	"Incon"	6.91473089271856	6.91473089271856	1007	NA	NA
2	171	"C:\Hannah's FYP\Black19_neu.jpg"	"love"	"Black"	"nose"	"Pos"	132	503	2	0	4	"Incon"	6.22059017009974	6.22059017009974	503	NA	NA
2	172	"C:\Hannah's FYP\White1_neu.jpg"	"love"	"White"	"forehead"	"Pos"	212	523	2	0	4	"Con"	6.25958146406492	6.25958146406492	523	NA	NA
2	173	"C:\Hannah's FYP\White10_neu.jpg"	"vacation"	"White"	"eyes"	"Pos"	222	1503	2	0	4	"Con"	7.31521838975297	7.31521838975297	1503	NA	NA
2	174	"C:\Hannah's FYP\Black11_neu.jpg"	"garbage"	"Black"	"eyes"	"Neg"	121	849	1	0	4	"Con"	6.74405918631135	6.74405918631135	849	NA	NA
2	175	"C:\Hannah's FYP\White21_neu.jpg"	"poison"	"White"	"nose"	"Neg"	231	851	1	0	4	"Incon"	6.74641212857337	6.74641212857337	851	NA	NA
2	176	"C:\Hannah's FYP\White7_neu.jpg"	"vomit"	"White"	"forehead"	"Neg"	211	681	1	0	4	"Incon"	6.52356230614951	6.52356230614951	681	NA	NA
2	177	"C:\Hannah's FYP\White8_neu.jpg"	"smile"	"White"	"forehead"	"Pos"	212	710	2	0	4	"Con"	6.56526497003536	6.56526497003536	710	NA	NA
2	178	"C:\Hannah's FYP\White20_neu.jpg"	"pest"	"White"	"nose"	"Neg"	231	927	1	0	4	"Incon"	6.83195356556585	6.83195356556585	927	NA	NA
2	179	"C:\Hannah's FYP\Black3_neu.jpg"	"despair"	"Black"	"forehead"	"Neg"	111	856	1	0	4	"Con"	6.75227037614174	6.75227037614174	856	NA	NA
2	180	"C:\Hannah's FYP\Black22_neu.jpg"	"sewage"	"Black"	"nose"	"Neg"	131	763	1	0	4	"Con"	6.63725803128446	6.63725803128446	763	NA	NA
2	181	"C:\Hannah's FYP\White21_neu.jpg"	"success"	"White"	"nose"	"Pos"	232	721	2	0	4	"Con"	6.58063913728495	6.58063913728495	721	NA	NA
2	182	"C:\Hannah's FYP\White2_neu.jpg"	"joy"	"White"	"forehead"	"Pos"	212	764	2	0	4	"Con"	6.63856778916652	6.63856778916652	764	NA	NA
2	183	"C:\Hannah's FYP\Black11_neu.jpg"	"cockroach"	"Black"	"eyes"	"Neg"	121	974	1	0	4	"Con"	6.88141130364254	6.88141130364254	974	NA	NA
2	184	"C:\Hannah's FYP\White2_neu.jpg"	"cockroach"	"White"	"forehead"	"Neg"	211	1591	1	0	4	"Incon"	7.37211802833779	7.37211802833779	1591	NA	NA
2	185	"C:\Hannah's FYP\Black15_neu.jpg"	"paradise"	"Black"	"eyes"	"Pos"	122	813	2	0	4	"Incon"	6.70073110954781	6.70073110954781	813	NA	NA
2	186	"C:\Hannah's FYP\White11_neu.jpg"	"vomit"	"White"	"eyes"	"Neg"	221	1005	1	0	4	"Incon"	6.91274282049318	6.91274282049318	1005	NA	NA
2	187	"C:\Hannah's FYP\Black4_neu.jpg"	"cockroach"	"Black"	"forehead"	"Neg"	111	876	1	0	4	"Con"	6.77536609093639	6.77536609093639	876	NA	NA
2	188	"C:\Hannah's FYP\White4_neu.jpg"	"romance"	"White"	"forehead"	"Pos"	212	673	2	0	4	"Con"	6.51174532964473	6.51174532964473	673	NA	NA
2	189	"C:\Hannah's FYP\White10_neu.jpg"	"pest"	"White"	"eyes"	"Neg"	221	750	1	0	4	"Incon"	6.62007320653036	6.62007320653036	750	NA	NA
2	190	"C:\Hannah's FYP\Black8_neu.jpg"	"poison"	"Black"	"forehead"	"Neg"	111	1054	1	0	4	"Con"	6.96034772910131	6.96034772910131	1054	NA	NA
2	191	"C:\Hannah's FYP\White6_neu.jpg"	"poison"	"White"	"forehead"	"Neg"	211	867	1	0	4	"Incon"	6.76503897678054	6.76503897678054	867	NA	NA
